Model,Marginal_Density,Nr_lines_nr_retained
Static,4.35836E-09,535985
Bottleneck,5.34088E-09,487141
Expansion_1,4.47801E-09,747805
Expansion_2,3.45232E-09,1821780
Expansion_3,3.70614E-09,3467675
Expansion_4,4.08489E-09,1047510
Expansion_5,3.47204E-09,2613116
Expansion_6,6.95362E-09,217943
Expansion_7,6.99833E-09,218596
Bottleneck_Expansion_1,5.42009E-09,786953
Bottleneck_Expansion_2,5.0611E-09,1733134
Bottleneck_Expansion_3,5.91514E-09,3155397
Bottleneck_Expansion_4,5.34907E-09,1077920
Bottleneck_Expansion_5,5.1547E-09,2430623
Bottleneck_Expansion_6,6.45858E-09,122539
Bottleneck_Expansion_7,6.34775E-09,122625
