ID	Country	Lat	Long	Aprox.Age	DEME	Include=1/Exclude=0
Ma9	Japan 	35.683333	139.766667	0	South_East_Asia	1
Bj1	Russia	59.375478	47.980469	0	Europe	0
Bj2	Sweden	59.329444	18.068611	0	Europe	1
Bj3	Spain	40.413862	-3.694231	0	Europe	0
Bj4	Saudi Arabia	24.70648	46.738758	0	Middle_East	1
Bj5	Saudi Arabia	24.70648	46.738758	0	Middle_East	0
Bj6	Canada	45.420833	-75.69	0	North_America	1
Zh3	China	43.965693	117.161283	0	South_East_Asia	1
Zh4	China	46.956904	88.512984	0	Central_North_Eurasia	1
Zh5	Mongolia	46.108046	104.241362	0	South_East_Asia	1
Pa1	China	35.019971	101.048385	0	South_East_Asia	1
Pa2	China	35.019971	101.048385	0	South_East_Asia	1
Tha1	Finland 	65.008988	25.463556	0	Europe	1
Tha2	Western Russia 	58.59574	49.65067	0	Europe	0
Tha3	Sweden 	59.35	18.066667	0	Europe	1
Tha4	China 	35	103	0	South_East_Asia	0
Tha5	Israel 	33.00451	35.78071	0	Middle_East	1
Tha6	India 	21	78	0	Middle_East	1
Tha7	Western Russia 	59.952189	30.421875	0	Europe	1
Tha8	Poland 	52.216667	21.033333	0	Europe	1
Tha9	Western Russia 	53.27038	34.351425	0	Europe	1
Tha10	Ukraine 	46.652636	32.600708	0	Europe	1
Tha11	Italy 	41.9	12.483333	0	Europe	1
Tha12	Poland 	50.219165	19.030882	0	Europe	1
Tha13	Oman 	23.6	58.55	0	Middle_East	1
Tha14	Iran 	32	53	0	Middle_East	1
Tha15	Sweden 	59.35	18.066667	0	Europe	0
Tha16	China 	35	103	0	South_East_Asia	1
Tha17	Croatia 	45.8	16	0	Europe	1
Tha18	Isreal 	31	35	0	Middle_East	1
Tha19	Canada	59.244895	-104.437499	0	North_America	1
Tha20	Canada_North	73.44	-121.925	0	Arctic_North_America	1
Tha21	Alaska	64	-150	0	Beringia	0
Tha22	Canada_West	64.586978	-138.377956	0	Beringia	1
Tha23	Mexico	24.92394	-105.280047	0	North_America	0
Tha24	Canada_North	75.13613	-84.926685	0	Arctic_North_America	1
Tha25	Canada_North	73.128783	-120.362347	0	Arctic_North_America	0
Tha26	Canada_West	65.12	-140.52	0	Beringia	0
Tha27	USA	47.798597	-113.208845	0	North_America	0
Tha28	Mexico	19	-99	0	North_America	0
Tha29	Alaska	64	-150	0	Beringia	1
Tha30	Alaska	64	-150	0	Beringia	1
Tha31	USA	44.428055	-110.586738	0	North_America	0
Tha32	USA	44.428055	-110.586738	0	North_America	1
Tha33	USA	44.428055	-110.586738	0	North_America	1
Tha34	Alaska	63.114198	-151.190889	0	Beringia	1
Tha35	Alaska	63.114198	-151.190889	0	Beringia	1
Tha36	Alaska	63.114198	-151.190889	0	Beringia	1
Tha37	Canada	45.4	-75.666667	0	North_America	1
Tha38	Canada	45.4	-75.666667	0	North_America	0
Tha39	Canada	45.4	-75.666667	0	North_America	0
Tha40	Canada	45.4	-75.666667	0	North_America	0
Ar1	Sweden 	59.35	18.066667	0	Europe	1
Fr1	Isreal	31	35	0	Middle_East	0
Fr2	Croatia	45.8	16	0	Europe	0
Ms2	Denmark	56	10	0	Europe	0
Ms4	Mongolia	46	105	0	South_East_Asia	1
Ms5	Saudi-Arabia	24.65	46.766667	0	Middle_East	1
Ms7	Alaska	56.75	133.5	0	Beringia	0
Ms8	Alaska	63.77972222	-171.7411111	0	Beringia	1
Ms9	Alaska	67	-158	0	Beringia	1
